,Name,Year,Location,Country,Status,Type,city,state,state_names,avg_temp_f,avg_temp_c
997,Eugene A. Doran Memorial Bridge,1970,Hillsborough (CA),USA,in use,metal,Hillsborough,CA,California,59.4,15.2
998,Eureka Bridge,1872,- Bloomfield (IA),USA,in use,metal,Bloomfield,IA,Iowa,51.2,10.7
999,Ewing Avenue Bridge,1914,Chicago (IL),USA,in use,metal,Chicago,IL,Illinois,49.9,9.9
1000,Fairfax Bridge,1934,- Riverside (MO),USA,demolished,metal,Riverside,MO,Missouri,54.5,12.5
1001,Fairfax Bridge,1921,Pierce County (WA),USA,in use,metal,Pierce County,WA,Washington,48.3,9.1
1002,Fairground Street Bridge,1895,Vicksburg (MS),USA,out of service,metal,Vicksburg,MS,Mississippi,64.7,18.2
1003,Falling Rock Camp Bridge,1872,Licking County (OH),USA,out of service,metal,Licking County,OH,Ohio,50.7,10.4
1004,Falls of Rough Bridge,1877,Falls of Rough (KY),USA,in use,metal,Falls of Rough,KY,Kentucky,55.6,13.1
1005,Falls View Suspension Bridge,1889,Niagara Falls (NY),USA,demolished,metal,Niagara Falls,NY,New York,47.7,8.7
1006,Fanning Springs Bridge,1934,Fanning Springs (FL),USA,demolished,metal,Fanning Springs,FL,Florida,70.7,21.5
1007,Faust Street Bridge,1887,New Braunfels (TX),USA,in use,metal,New Braunfels,TX,Texas,68.5,20.3
1008,Ferry Street Bridge,1950,Eugene (OR),USA,in use,metal,Eugene,OR,Oregon,52.5,11.4
1009,Fessenden Street Bridge,1909,Portland (OR),USA,in use,metal,Portland,OR,Oregon,54.5,12.5
1010,Fink Truss Bridge,1857,Hamden (NJ),USA,destroyed,metal,Hamden,NJ,New Jersey,52.7,11.5
1011,Fire Island Inlet Bridge,1965,Suffolk County (NY),USA,in use,metal,Suffolk County,NY,New York,45.4,7.4
1012,First Avenue Bridge,1931,San Diego (CA),USA,in use,metal,San Diego,CA,California,63.6,17.6
1013,First Avenue Skyway,2002,Minneapolis (MN),USA,in use,metal,Minneapolis,MN,Minnesota,46.3,7.9
1014,First Elk Creek Bridge,1931,Douglas County (OR),USA,in use,metal,Douglas County,OR,Oregon,48.4,9.1
1015,Flaming Gorge Reservoir Pipeline Bridge,1962,McKinnon (WY),USA,in use,metal,McKinnon,WY,Wyoming,42.0,5.6
1016,Fleming Park Bridge,1955,Neville Township (PA),USA,in use,metal,Neville Township,PA,Pennsylvania,48.8,9.3
1017,Fleming Park Railroad Bridge,1894,Neville Township (PA),USA,in use,metal,Neville Township,PA,Pennsylvania,48.8,9.3
1018,Florida Avenue Bridge,2004,New Orleans (LA),USA,in use,metal,New Orleans,LA,Louisiana,68.7,20.4
1019,Fore River Bridge,1936,Quincy (MA),USA,demolished,metal,Quincy,MA,Massachusetts,47.9,8.8
1020,Fort Benton Bridge,1888,Fort Benton (MT),USA,in use,metal,Fort Benton,MT,Montana,45.3,7.4
1021,Fort Duquesne Bridge,1963,Pittsburgh (PA),USA,in use,metal,Pittsburgh,PA,Pennsylvania,51.4,10.8
1022,Fort Henry Bridge,1955,Wheeling (WV),USA,in use,metal,Wheeling,WV,West Virginia,51.8,11.0
1023,Fort Keogh Bridge,1902,Miles City (MT),USA,demolished,metal,Miles City,MT,Montana,46.0,7.8
1024,Fort Laramie Bowstring Arch Truss Bridge,1875,Fort Laramie (WY),USA,in use,metal,Fort Laramie,WY,Wyoming,46.4,8.0
1025,Fort Pike Bridge,1930,New Orleans (LA),USA,in use,metal,New Orleans,LA,Louisiana,68.7,20.4
1026,Fort Pitt Bridge,1959,Pittsburgh (PA),USA,in use,metal,Pittsburgh,PA,Pennsylvania,51.4,10.8
1027,Fort Sumner Railroad Bridge,1906,Fort Sumner (NM),USA,in use,metal,Fort Sumner,NM,New Mexico,59.3,15.2
1028,Fort Wayne Railroad Bridge,1904,Pittsburgh (PA),USA,in use,metal,Pittsburgh,PA,Pennsylvania,51.4,10.8
1029,Fosnaugh Truss-Leg Bedstead Bridge,1891,Fairfield County (OH),USA,demolished,metal,Fairfield County,OH,Ohio,53.9,12.2
1030,Founders Bridge,1957,Hartford (CT),USA,in use,metal,Hartford,CT,Connecticut,50.1,10.1
1031,Four Bears Bridge,1934,New Town (ND),USA,demolished,metal,New Town,ND,North Dakota,41.1,5.1
1032,Four Bears Bridge,1955,New Town (ND),USA,demolished,metal,New Town,ND,North Dakota,41.1,5.1
1033,Four Mile Bridge,1928,Hot Springs County (WY),USA,demolished,metal,Hot Springs County,WY,Wyoming,42.0,5.6
1034,Fourth Elk Creek Crossing Bridge,1931,Douglas County (OR),USA,in use,metal,Douglas County,OR,Oregon,48.4,9.1
1035,Foxburg Bridge,1908,Foxburg (PA),USA,demolished,metal,Foxburg,PA,Pennsylvania,48.8,9.3
1036,Foxburg Bridge,1921,Foxburg (PA),USA,demolished,metal,Foxburg,PA,Pennsylvania,48.8,9.3
1037,Foxfire Mountain Footbridge,2011,Sevier County (TN),USA,in use,metal,Sevier County,TN,Tennessee,57.6,14.2
1038,Frances Appleton Bridge,2018,Boston (MA),USA,in use,metal,Boston,MA,Massachusetts,51.3,10.7
1039,Francis Scott Key Bridge,1977,Baltimore (MD),USA,in use,metal,Baltimore,MD,Maryland,55.1,12.8
1040,Francis Street Bridge,1894,Providence (RI),USA,demolished,metal,Providence,RI,Rhode Island,50.9,10.5
1041,Francisco Avenue Bridge,1969,Chicago (IL),USA,in use,metal,Chicago,IL,Illinois,49.9,9.9
1042,Franklin Bridge,1932,Franklin (NE),USA,in use,metal,Franklin,NE,Nebraska,51.0,10.6
1043,Franklin D. Roosevelt Mid-Hudson Bridge,1930,Poughkeepsie (NY),USA,completed,metal,Poughkeepsie,NY,New York,50.0,10.0
1044,Franklin Street Bascule Bridge,1920,Chicago (IL),USA,in use,metal,Chicago,IL,Illinois,49.9,9.9
1045,Fred Schwengel Memorial Bridge,1966,Davenport (IA),USA,in use,metal,Davenport,IA,Iowa,50.0,10.0
1046,Frederick Douglass Memorial Bridge,1949,Washington,USA,in use,metal,Washingto,WA,Washington,48.3,9.1
1047,Frederick Douglass Memorial Bridge,2021,Washington,USA,under construction,metal,Washingto,WA,Washington,48.3,9.1
1048,Frederick Douglass-Susan B. Anthony Memorial Bridge,2007,Rochester (NY),USA,in use,metal,Rochester,NY,New York,48.2,9.0
1049,Freeport Bowstring Arch Truss Bridge,1878,Decorah (IA),USA,out of service,metal,Decorah,IA,Iowa,47.8,8.8
1050,Freeport Rail Bridge,1950,Freeport (PA),USA,in use,metal,Freeport,PA,Pennsylvania,40.7,4.8
1051,Fremont Bridge,1973,Portland (OR),USA,in use,metal,Portland,OR,Oregon,54.5,12.5
1052,French King Bridge,1932,Erving (MA),USA,in use,metal,Erving,MA,Massachusetts,47.9,8.8
1053,Frisco Bridge,1892,,USA,in use,metal,Memphis,TN,Tennessee,62.3,16.8
1054,Fruita Bridge,1907,Fruita (CO),USA,out of service,metal,Fruita,CO,Colorado,52.8,11.6
1055,Fruitvale Avenue Railroad Bridge,1951,Oakland (CA),USA,out of service,metal,Oakland,CA,California,59.4,15.2
1056,Frying Pan Creek Bridge,1931,Pierce County (WA),USA,in use,metal,Pierce County,WA,Washington,48.3,9.1
1057,Fulton Bridges,1968,Clearfield County (PA),USA,in use,metal,Clearfield County,PA,Pennsylvania,49.6,9.8
1058,Gaines Basin Road Bridge,1912,Orleans County (NY),USA,in use,metal,Orleans County,NY,New York,45.4,7.4
1059,Gale Bridge,1933,Gale (IL),USA,in use,metal,Gale,IL,Illinois,51.8,11.0
1060,Gallman Road Bridge,1887,Newark (OH),USA,in use,metal,Newark,OH,Ohio,51.4,10.8
1061,Galls Creek Bridge,1938,Jackson County (OR),USA,in use,metal,Jackson County,OR,Oregon,48.4,9.1
1062,Gardner River Bridge,1939,Park County (WY),USA,in use,metal,Park County,WY,Wyoming,42.0,5.6
1063,Gateway Boulevard Bridge,2003,Nashville (TN),USA,in use,metal,Nashville,TN,Tennessee,59.5,15.3
1064,Gateway Bridge,2005,Detroit (MI),USA,in use,metal,Detroit,MI,Michigan,50.3,10.2
1065,Gault Bridge,1996,Nevada City (CA),USA,in use,metal,Nevada City,CA,California,51.0,10.6
1066,Gay Street Bridge,1898,Knoxville (TN),USA,in use,metal,Knoxville,TN,Tennessee,59.1,15.1
1067,General James Longstreet Memorial Bridge,1957,Gainesville (GA),USA,in use,metal,Gainesville,GA,Georgia,59.7,15.4
1068,General U.S. Grant Bridge,1927,Portsmouth (OH),USA,demolished,metal,Portsmouth,OH,Ohio,55.4,13.0
1069,General U.S. Grant Bridge,2006,Portsmouth (OH),USA,in use,metal,Portsmouth,OH,Ohio,55.4,13.0
1070,Genesee Arch Bridge,2017,Genesee Falls (NY),USA,in use,metal,Genesee Falls,NY,New York,45.4,7.4
1071,Geneva Street Bridge,1938,Glendale (CA),USA,in use,metal,Glendale,CA,California,61.3,16.3
1072,George D. Stuart Bridge,1952,Tarentum (PA),USA,in use,metal,Tarentum,PA,Pennsylvania,48.8,9.3
1073,George E. Tryon Bridge,1948,Del Norte County (CA),USA,in use,metal,Del Norte County,CA,California,59.4,15.2
1074,George P. Coleman Memorial Bridge,1952,Yorktown (VA),USA,demolished,metal,Yorktown,VA,Virginia,60.6,15.9
1075,George P. Coleman Memorial Bridge,1995,Yorktown (VA),USA,in use,metal,Yorktown,VA,Virginia,60.6,15.9
1076,George Rankin Jr. Memorial Bridge,1951,Whitaker (PA),USA,in use,metal,Whitaker,PA,Pennsylvania,48.8,9.3
1077,George Rogers Clark Memorial Bridge,1929,Louisville (KY),USA,in use,metal,Louisville,KY,Kentucky,58.2,14.6
1078,George Sellar Bridge,1950,Wenatchee (WA),USA,in use,metal,Wenatchee,WA,Washington,51.0,10.6
1079,George V. Voinovich Bridges,2016,Cleveland (OH),USA,in use,metal,Cleveland,OH,Ohio,51.4,10.8
1080,George Washington Bridge,1931,- New York (NY),USA,in use,metal,New York,NY,New York,55.5,13.1
1081,George Washington Carver Bridge,2004,Des Moines (IA),USA,in use,metal,Des Moines,IA,Iowa,50.9,10.5
1082,Georgetown Suspension Bridge,1808,Washington,USA,destroyed,metal,Washingto,WA,Washington,48.3,9.1
1083,Gerald Desmond Bridge,1968,Los Angeles (CA),USA,in use,metal,Los Angeles,CA,California,64.9,18.3
1084,Gerloff Road Bridge,1888,Lower Fredrick Township (PA),USA,in use,metal,Lower Fredrick Township,PA,Pennsylvania,48.8,9.3
1085,Gianella Bridge,1911,Hamilton City (CA),USA,demolished,metal,Hamilton City,CA,California,19.4,-7.0
1086,Gill-Montague Bridge,1938,- Montague (MA),USA,in use,metal,Montague,MA,Massachusetts,47.9,8.8
1087,Gillespie Dam Bridge,1927,Gila Bend (AZ),USA,in use,metal,Gila Bend,AZ,Arizona,72.4,22.4
1088,Gimbel's Bridge,1925,New York (NY),USA,in use,metal,New York,NY,New York,55.5,13.1
1089,Gimlet Bridge,1894,Blaine County (ID),USA,out of service,metal,Blaine County,ID,Idaho,44.4,6.9
1090,Girard Point Bridge,1973,Philadelphia (PA),USA,in use,metal,Philadelphia,PA,Pennsylvania,55.9,13.3
1091,Glen Canyon Bridge,1959,Page (AZ),USA,in use,metal,Page,AZ,Arizona,58.0,14.4
1092,Glen Falls Bridge,1886,Plainfield (CT),USA,in use,metal,Plainfield,CT,Connecticut,49.0,9.4
1093,Glenoaks Boulevard Bridge,1938,Glendale (CA),USA,in use,metal,Glendale,CA,California,61.3,16.3
1094,Glenwood Avenue Bridge,1914,Medina (NY),USA,in use,metal,Medina,NY,New York,45.4,7.4
1095,Glenwood Baltimore & Ohio Railroad Bridge,1884,Pittsburgh (PA),USA,in use,metal,Pittsburgh,PA,Pennsylvania,51.4,10.8
1096,Glenwood Bridge,1966,Pittsburgh (PA),USA,in use,metal,Pittsburgh,PA,Pennsylvania,51.4,10.8
1097,Glover H. Cary Bridge,1940,Owensboro (KY),USA,in use,metal,Owensboro,KY,Kentucky,57.0,13.9
1098,Goethals Bridge,1928,- New York (NY),USA,demolished,metal,New York,NY,New York,55.5,13.1
1099,Goff Bridge,1999,Idaho County (ID),USA,in use,metal,Idaho County,ID,Idaho,44.4,6.9
1100,Gold Star Memorial Bridge,1943,New London (CT),USA,in use,metal,New London,CT,Connecticut,50.2,10.1
1101,Golden Gate Bridge,1937,San Francisco (CA),USA,in use,metal,San Francisco,CA,California,57.3,14.1
1102,Gorge Inn Suspension Bridge,1969,Newhalem (WA),USA,in use,metal,Newhalem,WA,Washington,49.6,9.8
1103,Goshen Land Company Bridge,1890,Goshen (VA),USA,in use,metal,Goshen,VA,Virginia,53.0,11.7
1104,Gothic Arch #28 Bridge,1864,New York (NY),USA,in use,metal,New York,NY,New York,55.5,13.1
1105,Governor Harry W. Nice Bridge,1940,Newburg (MD),USA,in use,metal,Newburg,MD,Maryland,54.2,12.3
1106,Governor Thomas Johnson Bridge,1978,Solomons Island (MD),USA,in use,metal,Solomons Island,MD,Maryland,57.6,14.2
1107,Governors Landing Bridge,1965,Val Verde County (TX),USA,in use,metal,Val Verde County,TX,Texas,64.8,18.2
1108,Grand Avenue Bridge,1913,Chicago (IL),USA,in use,metal,Chicago,IL,Illinois,49.9,9.9
1109,Grand Canyon Skywalk,2007,Mohave County (AZ),USA,in use,metal,Mohave County,AZ,Arizona,60.3,15.7
1110,Grand Coulee Bridge,1936,Grand Coulee (WA),USA,in use,metal,Grand Coulee,WA,Washington,48.3,9.1
1111,Grand Detour Bridge,1947,Grand Detour (IL),USA,demolished,metal,Grand Detour,IL,Illinois,51.8,11.0
1112,Grande Ronde River Bridge,1941,Asotin County (WA),USA,in use,metal,Asotin County,WA,Washington,15.4,-9.2
1113,Great Western Bridge,1913,Saint Paul (MN),USA,in use,metal,Saint Paul,MN,Minnesota,47.1,8.4
1114,Green Bridge,1967,New Orleans (LA),USA,in use,metal,New Orleans,LA,Louisiana,68.7,20.4
1115,Green River Bridge,1932,King County (WA),USA,in use,metal,King County,WA,Washington,48.3,9.1
1116,Gross State Aid Bridge,1918,Verdigre (NE),USA,in use,metal,Verdigre,NE,Nebraska,48.8,9.3
1117,Groth Road Bridge,1911,Orleans County (NY),USA,in use,metal,Orleans County,NY,New York,45.4,7.4
1118,Guy West Bridge,1968,Sacramento (CA),USA,in use,metal,Sacramento,CA,California,61.0,16.1
1119,Hackensack Run Bridge,1952,Hackensack (NJ),USA,in use,metal,Hackensack,NJ,New Jersey,52.7,11.5
1120,Hal W. Adams Bridge,1947,Mayo (FL),USA,in use,metal,Mayo,FL,Florida,68.2,20.1
1121,Hale Boggs Memorial Bridge,1983,- Luling (LA),USA,in use,metal,Luling,LA,Louisiana,66.4,19.1
1122,Hallandale Beach Bascule Bridge,2002,Hallandale Beach (FL),USA,in use,metal,Hallandale Beach,FL,Florida,70.7,21.5
1123,Hallville Mill Bridge,1890,Preston (CT),USA,out of service,metal,Preston,CT,Connecticut,49.0,9.4
1124,Hamilton Avenue Bridge,1942,New York (NY),USA,in use,metal,New York,NY,New York,55.5,13.1
1125,Hamilton Avenue Bridge,2008,New York (NY),USA,in use,metal,New York,NY,New York,55.5,13.1
1126,Hamilton Fish Newburgh-Beacon Bridge,1980,- Beacon (NY),USA,in use,metal,Beacon,NY,New York,50.0,10.0
1127,Hamilton Fish Newburgh-Beacon Bridge,1963,Newburgh (NY),USA,in use,metal,Newburgh,NY,New York,49.2,9.6
1128,Hampton Road Overpass,1957,Dallas (TX),USA,in use,metal,Dallas,TX,Texas,66.3,19.1
1129,Hanalei River Bridge,2003,Kapaa (HI),USA,in use,metal,Kapaa,HI,Hawaii,24.4,-4.2
1130,Hannibal Bridge,1917,Kansas City (MO),USA,in use,metal,Kansas City,MO,Missouri,54.6,12.6
1131,Hansen Bridge,1919,- Hansen (ID),USA,demolished,metal,Hansen,ID,Idaho,44.4,6.9
1132,Harahan Bridge,1916,Memphis (TN),USA,in use,metal,Memphis,TN,Tennessee,62.3,16.8
1133,Harbor Swing Bridge,1903,Baltimore (MD),USA,out of service,metal,Baltimore,MD,Maryland,55.1,12.8
1134,Hare's Hill Road Bridge,1869,Phoenixville (PA),USA,in use,metal,Phoenixville,PA,Pennsylvania,48.8,9.3
1135,Harlem Avenue Cal-Sag Bridge,1964,Palos Heights (IL),USA,in use,metal,Palos Heights,IL,Illinois,51.8,11.0
1136,Harpers Ferry Bollman Bridge,1852,Harpers Ferry (WV),USA,destroyed,metal,Harpers Ferry,WV,West Virginia,37.0,2.8
1137,Harry S. Truman Bridge,1945,Jackson County (MO),USA,in use,metal,Jackson County,MO,Missouri,54.5,12.5
1138,Harvard Bridge,1891,Cambridge (MA),USA,in use,metal,Cambridge,MA,Massachusetts,47.9,8.8
1139,Hastings Bridge,2013,Hastings (MN),USA,in use,metal,Hastings,MN,Minnesota,45.6,7.6
1140,Hastings Bridge,1951,Hastings (MN),USA,demolished,metal,Hastings,MN,Minnesota,45.6,7.6
1141,Hawkins Creek Bridge,1965,Shasta County (CA),USA,in use,metal,Shasta County,CA,California,60.8,16.0
1142,Hawthorne Bridge,1910,Portland (OR),USA,in use,metal,Portland,OR,Oregon,54.5,12.5
1143,Healdsburg Avenue Bridge,1921,Healdsburg (CA),USA,in use,metal,Healdsburg,CA,California,59.6,15.3
1144,Heart of America Bridge,1987,Kansas City (MO),USA,in use,metal,Kansas City,MO,Missouri,54.6,12.6
1145,Helen Madere Memorial Bridge,1944,Rio Vista (CA),USA,in use,metal,Rio Vista,CA,California,66.1,18.9
1146,Helena Bridge,1961,Helena-West Helena (AR),USA,in use,metal,Helena-West Helena,AR,Arkansas,60.4,15.8
1147,Hell Gate Bridge,1916,New York (NY),USA,in use,metal,New York,NY,New York,55.5,13.1
1148,Hell Gate Bridge Bronx Kill Span,1916,New York (NY),USA,in use,metal,New York,NY,New York,55.5,13.1
1149,Hellroaring Suspension Bridge,1935,Mammoth Hot Springs (WY),USA,in use,metal,Mammoth Hot Springs,WY,Wyoming,39.0,3.9
1150,Henderson-Point Pleasant Railroad Bridge,1946,- Henderson (WV),USA,in use,metal,Henderson,WV,West Virginia,55.2,12.9
1151,Henry Hudson Bridge,1936,New York (NY),USA,in use,metal,New York,NY,New York,55.5,13.1
1152,Henszey's Wrought-Iron Arch Bridge,1869,Summerdale (PA),USA,in use,metal,Summerdale,PA,Pennsylvania,48.8,9.3
1153,Hernando de Soto Bridge,1973,Memphis (TN),USA,in use,metal,Memphis,TN,Tennessee,62.3,16.8
1154,Hi Carpenter Memorial Bridge,1977,Saint Marys (WV),USA,in use,metal,Saint Marys,WV,West Virginia,51.8,11.0
1155,High Bridge,1848,New York (NY),USA,in use,metal,New York,NY,New York,55.5,13.1
1156,High Bridge,1876,High Bridge (KY),USA,demolished,metal,High Bridge,KY,Kentucky,55.6,13.1
1157,High Bridge,1911,High Bridge (KY),USA,in use,metal,High Bridge,KY,Kentucky,55.6,13.1
1158,High Falls Aqueduct Bridge,1850,Ulster County (NY),USA,demolished,metal,Ulster County,NY,New York,45.4,7.4
1159,High Level Bridge,1949,Akron (OH),USA,in use,metal,Akron,OH,Ohio,49.9,9.9
1160,High Line,1933,New York (NY),USA,in use,metal,New York,NY,New York,55.5,13.1
1161,High Steel Bridge,1929,Shelton (WA),USA,in use,metal,Shelton,WA,Washington,51.0,10.6
1162,High Street Bridge,1939,Alameda (CA),USA,in use,metal,Alameda,CA,California,60.3,15.7
1163,Highgate Falls Bridge,1887,Highgate (VT),USA,in use,metal,Highgate,VT,Vermont,42.9,6.1
1164,Highland Bridge,2006,Denver (CO),USA,in use,metal,Denver,CO,Colorado,50.2,10.1
1165,Highland Park Bridge,1939,Pittsburgh (PA),USA,in use,metal,Pittsburgh,PA,Pennsylvania,51.4,10.8
1166,Highway 90 Bridge,1932,Columbus (TX),USA,in use,metal,Columbus,TX,Texas,67.9,19.9
1167,Hindsburg Road Bridge,1911,Orleans County (NY),USA,out of service,metal,Orleans County,NY,New York,45.4,7.4
1168,Hoffstadt Creek Bridge,1994,Cowlitz County (WA),USA,in use,metal,Cowlitz County,WA,Washington,48.3,9.1
1169,Holmes Street Pedestrian Bridge,1927,Shakopee (MN),USA,in use,metal,Shakopee,MN,Minnesota,41.2,5.1
1170,Homestead High Level Bridge,1936,Pittsburgh (PA),USA,in use,metal,Pittsburgh,PA,Pennsylvania,51.4,10.8
1171,Honeymoon Bridge,1898,Niagara Falls (NY),USA,demolished,metal,Niagara Falls,NY,New York,47.7,8.7
1172,Hoover Dam,1955,Blendon Township (OH),USA,in use,metal,Blendon Township,OH,Ohio,50.7,10.4
1173,Horace Wilkinson Bridge,1968,Baton Rouge (LA),USA,in use,metal,Baton Rouge,LA,Louisiana,67.9,19.9
1174,Horan Road Bridge,1914,Medina (NY),USA,in use,metal,Medina,NY,New York,45.4,7.4
1175,Howard Bridge,1874,Howard (OH),USA,demolished,metal,Howard,OH,Ohio,49.2,9.6
1176,Howard Street Bridge,1939,Baltimore (MD),USA,in use,metal,Baltimore,MD,Maryland,55.1,12.8
1177,Hoyt Street Bridge,1870,Beatrice (NE),USA,out of service,metal,Beatrice,NE,Nebraska,51.3,10.7
1178,Huasna River Bridge,1959,San Luis Obispo County (CA),USA,in use,metal,San Luis Obispo County,CA,California,59.4,15.2
1179,Hudson River Bridge,1932,Hadley (NY),USA,demolished,metal,Hadley,NY,New York,45.2,7.3
1180,Huey P. Long Bridge,1940,Baton Rouge (LA),USA,in use,metal,New Orleans,LA,Louisiana,68.7,20.4
1181,Huey P. Long Bridge,1935,,USA,in use,metal,New Orleans,LA,Louisiana,68.7,20.4
1182,Hulberton Road Bridge,1913,Orleans County (NY),USA,in use,metal,Orleans County,NY,New York,45.4,7.4
1183,Hungry Hollow Bridge,1883,Mankato (MN),USA,dismantled,metal,Mankato,MN,Minnesota,48.0,8.9
1184,Hurricane Deck Bridge,1936,Camden County (MO),USA,demolished,metal,Camden County,MO,Missouri,54.5,12.5
1185,Hurricane Gulch Bridge,1921,Matanuska-Susitna (AK),USA,in use,metal,Matanuska-Susitna,AK,Alaska,26.6,-3.0
1186,Hurricane Gulch Bridge,1971,Matanuska-Susitna (AK),USA,in use,metal,Matanuska-Susitna,AK,Alaska,26.6,-3.0
1187,HX Draw,1911,Secaucus (NJ),USA,in use,metal,Secaucus,NJ,New Jersey,52.7,11.5
1188,I-205 Clackamas River Bridges,1962,- Gladstone (OR),USA,in use,metal,Gladstone,OR,Oregon,54.4,12.4
1189,I-35W Minnesota River Bridge,1960,- Bloomington (MN),USA,in use,metal,Bloomington,MN,Minnesota,41.2,5.1
1190,I-35W Mississippi River Bridge,1967,Minneapolis (MN),USA,collapsed,metal,Minneapolis,MN,Minnesota,46.3,7.9
1191,I-5 Cowlitz River Bridges,1953,Lewis County (WA),USA,in use,metal,Lewis County,WA,Washington,48.3,9.1
1192,I-5 North Fork Lewis River Bridge,1940,Woodland (WA),USA,in use,metal,Woodland,WA,Washington,53.4,11.9
1193,I-5 North Fork Lewis River Bridge,1968,Woodland (WA),USA,in use,metal,Woodland,WA,Washington,53.4,11.9
1194,I-5 Skagit River Bridge,1956,Mount Vernon (WA),USA,in use/under construction,metal,Mount Vernon,WA,Washington,50.5,10.3
1195,I-5 Toutle River Bridges,1969,Cowlitz County (WA),USA,in use,metal,Cowlitz County,WA,Washington,48.3,9.1
1196,I-694 Bridge,1988,Brooklyn Center (MN),USA,in use,metal,Brooklyn Center,MN,Minnesota,45.7,7.6
1197,I-74 Bridge,2021,Moline (IL),USA,in use,metal,Moline,IL,Illinois,50.7,10.4
1198,I-79 Neville Island Bridge,1976,- Glenfield (PA),USA,in use,metal,Glenfield,PA,Pennsylvania,52.1,11.2
1199,I-82 Naches River Bridge,1932,Yakima (WA),USA,in use,metal,Yakima,WA,Washington,49.7,9.8
1200,I-82 Naches River Bridge,1960,Yakima (WA),USA,in use,metal,Yakima,WA,Washington,49.7,9.8
1201,I-82 Yakima River Bridge,1960,Yakima (WA),USA,in use,metal,Yakima,WA,Washington,49.7,9.8
1202,I-87 Walkill River Bridge,1954,Rosendale (NY),USA,in use,metal,Rosendale,NY,New York,45.4,7.4
1203,I. B. Perrine Bridge,1927,Twin Falls (ID),USA,demolished,metal,Twin Falls,ID,Idaho,49.9,9.9
1204,I. B. Perrine Bridge,1976,Twin Falls (ID),USA,in use,metal,Twin Falls,ID,Idaho,49.9,9.9
1205,Illinois Central Terminal Rail Bridge,1893,Omaha (NE),USA,in use,metal,Omaha,NE,Nebraska,51.1,10.6
1206,Independence Bridge,1976,Bay City (MI),USA,in use,metal,Bay City,MI,Michigan,47.4,8.6
1207,India Point Railroad Bridge,1903,Providence (RI),USA,demolished,metal,Providence,RI,Rhode Island,50.9,10.5
1208,Indian River Inlet Bridge,1965,Bethany Beach (DE),USA,in use,metal,Bethany Beach,DE,Delaware,55.3,12.9
1209,Indiana Avenue Bridge,1915,Chicago (IL),USA,in use,metal,Chicago,IL,Illinois,49.9,9.9
1210,Industrial Flats Lift Bridge,1953,Cleveland (OH),USA,in use,metal,Cleveland,OH,Ohio,51.4,10.8
1211,Ingersoll Street Bridge,1911,Albion (NY),USA,in use,metal,Albion,NY,New York,45.4,7.4
1212,Innerbelt Bridge,1959,Cleveland (OH),USA,demolished,metal,Cleveland,OH,Ohio,51.4,10.8
1213,Interstate 24 Bridge,1973,Paducah (KY),USA,in use,metal,Paducah,KY,Kentucky,57.4,14.1
1214,Interstate Highway Bridge,1939,Clarkston (WA),USA,in use,metal,Clarkston,WA,Washington,49.7,9.8
1215,Iowa-Illinois Memorial Bridge,1959,Moline (IL),USA,to be demolished,metal,Moline,IL,Illinois,50.7,10.4
1216,Iowa-Illinois Memorial Bridge,1934,Moline (IL),USA,to be demolished,metal,Moline,IL,Illinois,50.7,10.4
1217,Irene Hixon Whitney Bridge,1988,Minneapolis (MN),USA,in use,metal,Minneapolis,MN,Minnesota,46.3,7.9
1218,Ironton-Russell Bridge,1922,- Russell (KY),USA,demolished,metal,Russell,KY,Kentucky,55.6,13.1
1219,Irvin S. Cobb Bridge,1929,Paducah (KY),USA,in use,metal,Paducah,KY,Kentucky,57.4,14.1
1220,Isaiah David Hart Bridge,1967,Jacksonville (FL),USA,in use,metal,Jacksonville,FL,Florida,68.6,20.3
1221,Isleton Bridge,1923,Isleton (CA),USA,in use,metal,Isleton,CA,California,58.6,14.8
1222,Israel LaFleur Bridge,1962,Lake Charles (LA),USA,in use,metal,Lake Charles,LA,Louisiana,68.2,20.1
1223,Jackson Boulevard Bridge,1916,Chicago (IL),USA,in use,metal,Chicago,IL,Illinois,49.9,9.9
1224,Jackson Park Lagoon Bridge,1891,Chicago (IL),USA,in use,metal,Chicago,IL,Illinois,49.9,9.9
1225,Jackson Street Bridge,1903,- Harrison (NJ),USA,in use,metal,Harrison,NJ,New Jersey,52.7,11.5
1226,Jackson Street Bridge,1932,Joliet (IL),USA,in use,metal,Joliet,IL,Illinois,49.4,9.7
1227,James River Bridge,1983,Newport News (VA),USA,in use,metal,Newport News,VA,Virginia,60.0,15.6
1228,Jamestown Bridge,1940,Jamestown (RI),USA,demolished,metal,Jamestown,RI,Rhode Island,50.1,10.1
1229,Janice Peaslee Bridge,1893,Stratford (NH),USA,in use,metal,Stratford,NH,New Hampshire,43.8,6.6
1230,Jefferson Barracks Bridge,1983,- Columbia (IL),USA,in use,metal,Columbia,IL,Illinois,51.8,11.0
1231,Jefferson Barracks Bridge,1992,- Columbia (IL),USA,in use,metal,Columbia,IL,Illinois,51.8,11.0
1232,Jefferson City Bridge,1955,Jefferson City (MO),USA,in use,metal,Jefferson City,MO,Missouri,55.0,12.8
1233,Jennings Randolph Bridge,1977,- Chester (WV),USA,in use,metal,Chester,WV,West Virginia,51.8,11.0
1234,John A. Blatnik Bridge,1961,Duluth (MN),USA,in use,metal,Duluth,MN,Minnesota,40.3,4.6
